Date;GoldPrice
1-Apr-68;37.700
2-Apr-68;37.300
3-Apr-68;37.600
4-Apr-68;36.950
5-Apr-68;37.000
8-Apr-68;37.050
9-Apr-68;37.500
10-Apr-68;37.700
11-Apr-68;38.000
12-Apr-68;.
15-Apr-68;.
16-Apr-68;38.000
17-Apr-68;37.800
18-Apr-68;37.550
19-Apr-68;37.650
22-Apr-68;38.000
23-Apr-68;38.400
24-Apr-68;38.250
25-Apr-68;38.300
26-Apr-68;38.650
29-Apr-68;38.750
30-Apr-68;39.100
1-May-68;39.200
2-May-68;39.450
3-May-68;39.100
6-May-68;39.750
7-May-68;39.300
8-May-68;39.750
9-May-68;39.700
10-May-68;39.600
13-May-68;39.500
14-May-68;39.800
15-May-68;40.250
16-May-68;42.250
17-May-68;41.500
20-May-68;42.300
21-May-68;42.400
22-May-68;41.550
23-May-68;41.400
24-May-68;41.750
27-May-68;41.500
28-May-68;41.500
29-May-68;41.600
30-May-68;41.950
31-May-68;41.950
3-Jun-68;.
4-Jun-68;41.150
5-Jun-68;41.200
6-Jun-68;41.200
7-Jun-68;41.250
10-Jun-68;41.300
11-Jun-68;41.550
12-Jun-68;41.900
13-Jun-68;41.300
14-Jun-68;41.000
17-Jun-68;40.700
18-Jun-68;41.100
19-Jun-68;41.400
20-Jun-68;41.100
21-Jun-68;41.050
24-Jun-68;40.900
25-Jun-68;40.950
26-Jun-68;40.850
27-Jun-68;40.900
28-Jun-68;40.900
1-Jul-68;40.800
2-Jul-68;40.900
3-Jul-68;41.050
4-Jul-68;41.150
5-Jul-68;41.000
8-Jul-68;40.850
9-Jul-68;39.800
10-Jul-68;40.100
11-Jul-68;39.100
12-Jul-68;39.300
15-Jul-68;39.200
16-Jul-68;38.500
17-Jul-68;37.750
18-Jul-68;38.000
19-Jul-68;38.700
22-Jul-68;38.600
23-Jul-68;39.000
24-Jul-68;39.200
25-Jul-68;38.900
26-Jul-68;38.900
29-Jul-68;39.100
30-Jul-68;39.000
31-Jul-68;38.850
1-Aug-68;38.900
2-Aug-68;38.850
5-Aug-68;38.950
6-Aug-68;38.700
7-Aug-68;38.700
8-Aug-68;38.450
9-Aug-68;38.550
12-Aug-68;38.600
13-Aug-68;38.900
14-Aug-68;38.950
15-Aug-68;39.150
16-Aug-68;39.150
19-Aug-68;39.150
20-Aug-68;39.550
21-Aug-68;40.000
22-Aug-68;39.750
23-Aug-68;39.500
26-Aug-68;39.500
27-Aug-68;39.650
28-Aug-68;39.600
29-Aug-68;39.850
30-Aug-68;39.800
2-Sep-68;.
3-Sep-68;39.950
4-Sep-68;39.900
5-Sep-68;40.100
6-Sep-68;39.900
9-Sep-68;40.050
10-Sep-68;40.025
11-Sep-68;40.100
12-Sep-68;40.100
13-Sep-68;40.150
16-Sep-68;40.300
17-Sep-68;40.300
18-Sep-68;40.500
19-Sep-68;40.450
20-Sep-68;40.400
23-Sep-68;40.400
24-Sep-68;40.450
25-Sep-68;40.450
26-Sep-68;40.450
27-Sep-68;40.125
30-Sep-68;39.600
1-Oct-68;39.450
2-Oct-68;38.900
3-Oct-68;39.175
4-Oct-68;39.050
7-Oct-68;39.775
8-Oct-68;39.600
9-Oct-68;38.900
10-Oct-68;39.050
11-Oct-68;39.275
14-Oct-68;39.300
15-Oct-68;39.100
16-Oct-68;38.950
17-Oct-68;39.275
18-Oct-68;39.100
21-Oct-68;39.000
22-Oct-68;39.050
23-Oct-68;39.200
24-Oct-68;39.200
25-Oct-68;39.250
28-Oct-68;39.475
29-Oct-68;39.500
30-Oct-68;39.200
31-Oct-68;39.000
1-Nov-68;39.175
4-Nov-68;39.200
5-Nov-68;39.425
6-Nov-68;39.525
7-Nov-68;39.300
8-Nov-68;39.400
11-Nov-68;39.550
12-Nov-68;39.675
13-Nov-68;39.875
14-Nov-68;39.900
15-Nov-68;40.000
18-Nov-68;39.950
19-Nov-68;40.225
20-Nov-68;40.550
21-Nov-68;40.250
22-Nov-68;40.000
25-Nov-68;40.100
26-Nov-68;39.700
27-Nov-68;39.900
28-Nov-68;39.800
29-Nov-68;39.850
2-Dec-68;40.150
3-Dec-68;40.275
4-Dec-68;40.500
5-Dec-68;40.350
6-Dec-68;40.500
9-Dec-68;40.600
10-Dec-68;40.625
11-Dec-68;40.950
12-Dec-68;40.975
13-Dec-68;41.000
16-Dec-68;40.965
17-Dec-68;41.225
18-Dec-68;41.900
19-Dec-68;41.725
20-Dec-68;41.700
23-Dec-68;41.600
24-Dec-68;.
25-Dec-68;.
26-Dec-68;.
27-Dec-68;41.750
30-Dec-68;41.900
31-Dec-68;41.900
1-Jan-69;.
2-Jan-69;41.800
3-Jan-69;42.050
6-Jan-69;42.050
7-Jan-69;42.100
8-Jan-69;42.450
9-Jan-69;42.500
10-Jan-69;42.300
13-Jan-69;42.100
14-Jan-69;42.500
15-Jan-69;42.700
16-Jan-69;42.350
17-Jan-69;42.200
20-Jan-69;42.200
21-Jan-69;42.475
22-Jan-69;42.525
23-Jan-69;42.050
24-Jan-69;42.100
27-Jan-69;42.200
28-Jan-69;42.425
29-Jan-69;42.500
30-Jan-69;42.550
31-Jan-69;42.540
3-Feb-69;42.425
4-Feb-69;42.500
5-Feb-69;42.725
6-Feb-69;42.625
7-Feb-69;42.525
10-Feb-69;42.450
11-Feb-69;42.550
12-Feb-69;42.500
13-Feb-69;42.575
14-Feb-69;42.500
17-Feb-69;42.650
18-Feb-69;42.575
19-Feb-69;42.650
20-Feb-69;42.625
21-Feb-69;42.625
24-Feb-69;42.700
25-Feb-69;42.650
26-Feb-69;42.700
27-Feb-69;42.800
28-Feb-69;42.700
3-Mar-69;42.700
4-Mar-69;42.850
5-Mar-69;43.000
6-Mar-69;43.250
7-Mar-69;43.500
10-Mar-69;43.825
11-Mar-69;42.950
12-Mar-69;42.850
13-Mar-69;43.100
14-Mar-69;43.000
17-Mar-69;43.100
18-Mar-69;43.000
19-Mar-69;43.100
20-Mar-69;43.200
21-Mar-69;43.200
24-Mar-69;43.350
25-Mar-69;43.350
26-Mar-69;43.425
27-Mar-69;43.460
28-Mar-69;43.225
31-Mar-69;42.900
1-Apr-69;43.150
2-Apr-69;43.250
3-Apr-69;43.375
4-Apr-69;.
7-Apr-69;.
8-Apr-69;43.375
9-Apr-69;43.400
10-Apr-69;43.390
11-Apr-69;43.400
14-Apr-69;43.150
15-Apr-69;42.975
16-Apr-69;43.250
17-Apr-69;43.200
18-Apr-69;43.225
21-Apr-69;43.150
22-Apr-69;43.300
23-Apr-69;43.350
24-Apr-69;43.350
25-Apr-69;43.300
28-Apr-69;43.600
29-Apr-69;43.500
30-Apr-69;43.600
1-May-69;43.600
2-May-69;43.600
5-May-69;43.500
6-May-69;43.375
7-May-69;43.600
8-May-69;43.625
9-May-69;43.525
12-May-69;43.500
13-May-69;43.500
14-May-69;43.500
15-May-69;43.500
16-May-69;43.500
19-May-69;43.500
20-May-69;43.425
21-May-69;43.450
22-May-69;43.450
23-May-69;43.500
26-May-69;.
27-May-69;43.475
28-May-69;43.325
29-May-69;43.225
30-May-69;43.075
2-Jun-69;42.675
3-Jun-69;42.290
4-Jun-69;42.075
5-Jun-69;41.600
6-Jun-69;40.625
9-Jun-69;41.250
10-Jun-69;42.300
11-Jun-69;41.400
12-Jun-69;41.500
13-Jun-69;41.600
16-Jun-69;40.800
17-Jun-69;41.450
18-Jun-69;41.400
19-Jun-69;41.450
20-Jun-69;41.300
23-Jun-69;41.300
24-Jun-69;40.925
25-Jun-69;40.900
26-Jun-69;41.000
27-Jun-69;41.100
30-Jun-69;41.200
1-Jul-69;41.150
2-Jul-69;41.225
3-Jul-69;41.550
4-Jul-69;41.600
7-Jul-69;41.850
8-Jul-69;42.100
9-Jul-69;41.825
10-Jul-69;41.900
11-Jul-69;41.890
14-Jul-69;42.000
15-Jul-69;42.000
16-Jul-69;41.800
17-Jul-69;41.975
