Date;S&Pprice;;;;;;;
30-Dec-27;17.66;;;;;;;
3-Jan-28;17.76;;;;;;;
4-Jan-28;17.72;;;;;;;
5-Jan-28;17.55;;;;;;;
9-Jan-28;17.5;;;;;;;
10-Jan-28;17.37;;;;;;;
11-Jan-28;17.35;;;;;;;
12-Jan-28;17.47;;;;;;;
13-Jan-28;17.58;;;;;;;
16-Jan-28;17.29;;;;;;;
17-Jan-28;17.3;;;;;;;
18-Jan-28;17.26;;;;;;;
19-Jan-28;17.38;;;;;;;
20-Jan-28;17.48;;;;;;;
23-Jan-28;17.64;;;;;;;
24-Jan-28;17.71;;;;;;;
25-Jan-28;17.52;;;;;;;
26-Jan-28;17.63;;;;;;;
27-Jan-28;17.69;;;;;;;
30-Jan-28;17.49;;;;;;;
31-Jan-28;17.57;;;;;;;
1-Feb-28;17.53;;;;;;;
3-Feb-28;17.4;;;;;;;
6-Feb-28;17.45;;;;;;;
7-Feb-28;17.44;;;;;;;
10-Feb-28;17.54;;;;;;;
17-Feb-28;17.04;;;;;;;
20-Feb-28;16.95;;;;;;;
21-Feb-28;17.11;;;;;;;
23-Feb-28;17.13;;;;;;;
24-Feb-28;17.18;;;;;;;
28-Feb-28;17.16;;;;;;;
6-Mar-28;17.67;;;;;;;
9-Mar-28;17.93;;;;;;;
12-Mar-28;18.0;;;;;;;
13-Mar-28;17.92;;;;;;;
15-Mar-28;18.07;;;;;;;
16-Mar-28;18.26;;;;;;;
19-Mar-28;18.36;;;;;;;
20-Mar-28;18.46;;;;;;;
21-Mar-28;18.65;;;;;;;
22-Mar-28;18.6;;;;;;;
23-Mar-28;18.78;;;;;;;
26-Mar-28;19.05;;;;;;;
27-Mar-28;18.94;;;;;;;
28-Mar-28;18.89;;;;;;;
29-Mar-28;18.95;;;;;;;
30-Mar-28;19.28;;;;;;;
2-Apr-28;18.91;;;;;;;
3-Apr-28;19.02;;;;;;;
4-Apr-28;18.99;;;;;;;
5-Apr-28;19.23;;;;;;;
9-Apr-28;19.27;;;;;;;
10-Apr-28;19.1;;;;;;;
11-Apr-28;19.44;;;;;;;
12-Apr-28;19.41;;;;;;;
13-Apr-28;19.73;;;;;;;
16-Apr-28;19.68;;;;;;;
17-Apr-28;19.52;;;;;;;
19-Apr-28;19.63;;;;;;;
20-Apr-28;19.34;;;;;;;
23-Apr-28;19.15;;;;;;;
24-Apr-28;19.25;;;;;;;
25-Apr-28;19.33;;;;;;;
26-Apr-28;19.47;;;;;;;
30-Apr-28;19.75;;;;;;;
1-May-28;19.78;;;;;;;
2-May-28;19.83;;;;;;;
3-May-28;19.93;;;;;;;
4-May-28;20.24;;;;;;;
7-May-28;20.41;;;;;;;
8-May-28;20.27;;;;;;;
10-May-28;20.21;;;;;;;
11-May-28;20.36;;;;;;;
14-May-28;20.44;;;;;;;
15-May-28;20.39;;;;;;;
16-May-28;20.05;;;;;;;
17-May-28;20.12;;;;;;;
18-May-28;19.92;;;;;;;
22-May-28;19.36;;;;;;;
24-May-28;19.87;;;;;;;
25-May-28;19.9;;;;;;;
28-May-28;19.57;;;;;;;
29-May-28;19.82;;;;;;;
31-May-28;20.0;;;;;;;
1-Jun-28;20.07;;;;;;;
4-Jun-28;19.8;;;;;;;
5-Jun-28;19.85;;;;;;;
6-Jun-28;19.66;;;;;;;
7-Jun-28;19.61;;;;;;;
8-Jun-28;19.37;;;;;;;
11-Jun-28;18.68;;;;;;;
12-Jun-28;18.34;;;;;;;
15-Jun-28;18.74;;;;;;;
18-Jun-28;18.4;;;;;;;
20-Jun-28;18.57;;;;;;;
21-Jun-28;18.56;;;;;;;
22-Jun-28;18.54;;;;;;;
25-Jun-28;18.47;;;;;;;
27-Jun-28;18.86;;;;;;;
